nama;partai;dapil
Drs JUFRI MUHAMMAD ADI SH., MH;persatuan indonesia;Jawa Timur V
H JUHAINI ALIE SH., MM;partai persatuan pembangunan;Sumatera Selatan I
JULI SUSANTI;partai persatuan pembangunan;Sumatera Utara I
JULIA CHARTIKA SH;partai gerakan indonesia raya;Jawa Timur VIII
JULIANTI NOOR SE;partai amanat nasional;Sulawesi Barat
Drs JULIANTO M.Si;partai golongan karya;D. I. Yogyakarta
Drs JULIANUS POTE LEBA M.Si.;partai golongan karya;Nusa Tenggara Timur II
JULIARI P. BATUBARA;partai demokrasi indonesia perjuangan;Jawa Tengah I
Dra JULITA INDIANI;partai berkarya;Sumatera Utara II
JULIUS R. LATUMAERISSA SE;partai amanat nasional;Maluku
JULLYA FERONICA SE;partai berkarya;Banten II
JUMADI S.Pd;partai bulan bintang;Sumatera Barat I
JUMALI WAHYONO PERWITO SS;partai solidaritas indonesia;Jawa Tengah IV
JUMIATI;partai keadilan sejahtera;Jawa Tengah I
DRS JUMRAN WARIS M.Pd;partai bulan bintang;Sumatera Selatan II
Drs JUNAEDI Apt;partai gerakan indonesia raya;Jawa Tengah VIII
JUNAIDI ABDILLAH SE, MM;partai gerakan indonesia raya;Kalimantan Barat I
JUNAIDI ALBAB SETIAWAN SH.,M.Comm Law;partai keadilan sejahtera;Bengkulu
Ir JUNAIDI ELVIS M. Hum;partai golongan karya;Jawa Tengah X
JUNAIDI SIBUEA;partai berkarya;Sumatera Utara I
JUNAIDI SYAMSURI S.Sos;partai demokrasi indonesia perjuangan;Lampung I
JUNI FAMALIYAH SE;persatuan indonesia;Jawa Timur III
JUNITA SARI UJUNG S.H.,M.Kn;persatuan indonesia;Gorontalo
JUNJUNGAN GOGO MANURUNG S.E., M.M;partai kebangkitan bangsa;Sumatera Utara II
JUSLAN TAYEF BE.,S.Si;persatuan indonesia;Sulawesi Tenggara
JUSTINO DJOGO;partai golongan karya;D. I. Yogyakarta
JUSUF A. LAKORO;partai solidaritas indonesia;Gorontalo
Drs K. ARDHIANSYAH;partai persatuan pembangunan;Sumatera Selatan II
K.R.A.T. HENRY INDRAGUNA S.H.,C.L.A.,C.I.L;persatuan indonesia;Jawa Tengah V
KALI RAJA HARAHAP;partai persatuan pembangunan;Sumatera Utara II
KAMAL HAIKAL S.AP;partai bulan bintang;Jawa Timur V
KAMARUDDIN SH;partai solidaritas indonesia;Aceh II
KAMILA;partai golongan karya;Jawa Timur II
KARINA DEWI HASIBUAN;partai solidaritas indonesia;Sumatera Utara I
KARISA RAHMAPUTRI S.Sn, M.Sc;persatuan indonesia;Jawa Barat IX
KARMAN S.Sos.I;persatuan indonesia;Nusa Tenggara Barat II
KARNADI HARIJANTO S.S.,M.Si;persatuan indonesia;Jawa Timur III
KARNI;partai berkarya;Jawa Tengah IV
KARNO JUSMIWATI SE;partai gerakan indonesia raya;Papua
KARTIKA HAYATI SP;partai amanat nasional;Sumatera Selatan I
KARTIKA SARI DEWI;persatuan indonesia;Nusa Tenggara Timur II
Hj KARTIKA YUDHISTI B.Eng., M.Sc;partai persatuan pembangunan;Banten II
KARTIUS SH.,M.Si;persatuan indonesia;Kalimantan Barat I
KARYANTRI DEWI;partai persatuan pembangunan;Jawa Barat I
Hj KASMIRAH;partai berkarya;Sulawesi Selatan III
KASPUL ANWAR S.E;partai kebangkitan bangsa;Jambi
KASRA JARU MUNARA;partai persatuan pembangunan;Sulawesi Tenggara
KASTIM;partai kebangkitan bangsa;Sumatera Barat I
KATHARINA RAMBU KARERI SE;partai gerakan indonesia raya;Nusa Tenggara Timur II
Hj. KENIA KHAIRUNNISA S.Sos.;partai bulan bintang;Dki Jakarta III
Ir KEPAS RANGKAI;persatuan indonesia;Kalimantan Tengah
Ir KETUT SUSTIAWAN;partai demokrasi indonesia perjuangan;Jawa Barat I
KH. ABDUSSALAM SYAH SH;partai bulan bintang;Jawa Timur XI
KH. ACHIDIN NOOR MA.;partai keadilan sejahtera;Jawa Barat X
KH. AHMAD SADELI KARIM Lc;partai keadilan sejahtera;Banten I
KH. AM. SAEPUDIN, MA;partai berkarya;Jawa Barat III
Ir KH. ERMAS ANDICO SYAMDA;partai berkarya;Dki Jakarta III
KH. M NOVA ANDIKA S.E.,M.E.;partai demokrasi indonesia perjuangan;Jawa Barat IV
KH. MUHAMMAD SYBLI SAHABUDDIN;partai kebangkitan bangsa;Sulawesi Barat
KH. MUKHLIS EFFENDI SH., MH;partai gerakan indonesia raya;Jawa Barat VI
Drs KH. NAWAFIE SALEH S.E., M.M.;partai golongan karya;Jawa Barat V
KH. SYAIFUDIN NAWAWI;partai berkarya;Jawa Timur IX
KHABIB MAHFUD;partai kebangkitan bangsa;Jawa Tengah VIII
KHABRI MOEIS M.E;partai golongan karya;Jambi
KHADIJAH;partai berkarya;Sumatera Barat I
KHAIRUL FAHMI;partai amanat nasional;BALI
KHAIRUL MUHTAR SE.,MM;partai amanat nasional;Lampung I
KHAIRUL SAKTI LUBIS S.Pd;partai amanat nasional;Sumatera Utara II
KHAIRULLAH;partai kebangkitan bangsa;Aceh I
KHALIFAH DARMAWAN;partai solidaritas indonesia;Lampung II
KHAYATUN NUFUS;partai amanat nasional;Jawa Tengah IX
KHODIJAH;partai kebangkitan bangsa;Jawa Timur X
KHOIROTUL MUSTAFIDAH;partai solidaritas indonesia;Jawa Timur III
KHOIRUDDIN RAMBE S.SOS;partai keadilan sejahtera;Sumatera Utara II
KHOIRUL ANWAR;partai kebangkitan bangsa;Jawa Timur III
KHOLIFAH;partai solidaritas indonesia;Jawa Timur XI
KHOLIK SH;partai solidaritas indonesia;Jawa Timur X
KHOLILUL ROHMAN;partai kebangkitan bangsa;Jawa Tengah VI
KHOLIS MALIK;partai golongan karya;Jawa Barat X
KHUSNAINI SAFITRI;partai amanat nasional;BALI
KHUSNUL KHOTIMAH;partai kebangkitan bangsa;Jawa Tengah VII
KIPTIYAH;partai bulan bintang;Jawa Timur IV
KIRANA LARASATI HANAFIAH;partai demokrasi indonesia perjuangan;Jawa Barat I
KISLON OBISURU S.Sos;persatuan indonesia;Nusa Tenggara Timur I
KMS H. M. UMAR HALIM;partai amanat nasional;Sumatera Selatan I
KOBALEN M.Fil.H;partai gerakan indonesia raya;Kep. Bangka Belitung
KOKOH YULISTIO WAHONO;partai solidaritas indonesia;Jawa Timur V
KOKOK H. DIRGANTORO;partai solidaritas indonesia;Banten III
KOLIS S.H;partai bulan bintang;Jawa Timur IX
KOMANG DIAH KARTIKASARI;partai demokrasi indonesia perjuangan;BALI
KPAA. SURO AGUL AGUL H. BEGUG POERNOMOSIDI SH., MM., Ph.D;partai berkarya;Jawa Tengah IV
KRISDINA AGUSTIN;partai solidaritas indonesia;Jawa Tengah VII
dr KRISDINATA;partai persatuan pembangunan;Kalimantan Timur
KRISDIYANTI;persatuan indonesia;Jawa Barat IV
KRISNA MUKTI;partai nasdem;Jawa Barat X
KRIST IBNU T WAHYUDI SH;partai gerakan indonesia raya;Riau I
KRISTIANA WAHYU MENTARI;persatuan indonesia;Kalimantan Barat II
DR KRISTIAWANTO S.H.I.,MH;partai gerakan indonesia raya;Jawa Tengah III
Ir KRISTOFORUS ESSAU;persatuan indonesia;Sulawesi Selatan I
KRISTOPORUS POPO Spd;partai nasdem;Kalimantan Barat I
KUNTI TRI PERTIWI;partai amanat nasional;Nusa Tenggara Barat II
KUNTOMO JENAWI S.E., M.M.;partai golongan karya;Kalimantan Utara
KUNTUM KHAIRU BASA S.E.I., M.E.;persatuan indonesia;Jawa Tengah III
Drs KURNIA M.Pd;partai bulan bintang;Jawa Barat XI
KURNIA DANU AJI;partai amanat nasional;Jawa Tengah VIII
KURNIA HAYATI;partai kebangkitan bangsa;Jawa Tengah I
KURNIA RAMADHANI S.T., M.T.;partai persatuan pembangunan;Jawa Tengah V
KURNIASARI AMBAR S.Pd;partai solidaritas indonesia;Jawa Barat X
KURNIASIH;partai golongan karya;Jawa Timur VI
DRA KUSKADIASTUTI M.BA;partai amanat nasional;Jawa Timur I
H KUSWARA SASTRA PERMANA;partai amanat nasional;Jawa Barat X
L PUJO BASUKI RAHMAT;partai bulan bintang;Nusa Tenggara Barat II
Dr L. ALFIES SIHOMBING SH.,MH.,MM.,CPR.,CLA;persatuan indonesia;Jawa Barat I
LA ODE MUTAKHIR BOLU;partai persatuan pembangunan;Sulawesi Tenggara
LA ODE RABA'ALI S.H.;partai demokrasi indonesia perjuangan;Papua
LACKIE SUWANDIE S.E;partai golongan karya;Jawa Barat IX
Dr LAILATUR ROHMAH SE. MSi;partai kebangkitan bangsa;Jawa Timur VIII
LAKSMI SUSIA ANALAGRA;partai solidaritas indonesia;Jambi
LALU AKRAM WIRAHADY;partai kebangkitan bangsa;Nusa Tenggara Barat II
LALU JAYA ASBANI S.E;partai hati nurani rakyat;Nusa Tenggara Barat II
Ir LALU KHALID TARMIZI MT;partai keadilan sejahtera;Nusa Tenggara Barat II
DRS LAMBERTUS L. IBI RITI MT;partai kebangkitan bangsa;Nusa Tenggara Timur II
LAMBINGGEN GWIJANGGE;partai solidaritas indonesia;Papua
LAODE MUHAMMAD RAHMAT ZAADI;partai keadilan sejahtera;Sulawesi Tenggara
Hj LATHIFA MARINA AL ANSHORI B.Sc., M.A.;partai nasdem;Jawa Timur IV
LATHIFAH S.Pd.I;partai persatuan pembangunan;Nusa Tenggara Barat II
LATIFA;partai persatuan pembangunan;Jawa Timur V
LATIFAH HANUM SOFYAN, SE;partai nasdem;Sumatera Utara I
Prof.Dr LAURENCE A. MANULLANG A. W;persatuan indonesia;Dki Jakarta III
LAVIONA BARRETTA S. Kom;partai gerakan indonesia raya;Dki Jakarta I
LAWRENCE T.P. SIBURIAN S.H., M.H.;partai golongan karya;Sumatera Utara I
LELY GUSTINA;persatuan indonesia;Kepulauan RIAU
Dra LENA MARYANA;partai persatuan pembangunan;Dki Jakarta II
LENI ANDRIANI B.Bus., M.Com;partai golongan karya;Sulawesi Tenggara
LENI INDRIA SARI SH;partai amanat nasional;Sumatera Utara I
LEO ALEXANDER TAMBUNAN SE, MM;partai solidaritas indonesia;Banten III
Dr LEO HERLAMBANG;partai amanat nasional;Jawa Timur I
LEONARDO HARYO AGUNG SH;partai solidaritas indonesia;D. I. Yogyakarta
LEONAS CHATIM STL., MMS;persatuan indonesia;Jawa Barat IX
DR. IR LEONY LIDYA MT;partai bulan bintang;Sumatera Barat I
LESINDAHETI MARSUDI;partai berkarya;Jawa Barat VIII
LESTARI CINTA ZANIDYA;partai solidaritas indonesia;Jawa Barat I
Hj LESTARI YUSENO, SH;partai berkarya;Jawa Barat X
LEWANG HADI SUNARYO S.Pd;partai keadilan sejahtera;Jawa Timur VIII
LEYLA FAJRI S.I.Pust;partai gerakan perubahan indonesia;Kep. Bangka Belitung
LEYLA KHANSA;partai bulan bintang;Jawa Timur II
LIA AMALIA;partai amanat nasional;Jawa Barat VIII
LIA NATALIA;partai solidaritas indonesia;Papua
LIA SEPTIANI S.Si;persatuan indonesia;Kalimantan Timur
LIBER SIMBOLON M.KOM;persatuan indonesia;Sumatera Utara III
LIBRIANTO NOVERIAN;partai solidaritas indonesia;Jawa Timur II
LIDYA OCTAVIANA SIANIPAR S.H.;partai demokrasi indonesia perjuangan;Sumatera Utara I
LIEKE TIELUNG ST., MPA;partai gerakan indonesia raya;Sulawesi Utara
LIELIAN PRESCILLA SUWAGES;persatuan indonesia;Papua
LIGHA NABILA JAYASARI;partai golongan karya;Jawa Tengah I
LIKLA ALIYAH S.Pd.I;partai kebangkitan bangsa;D. I. Yogyakarta
LILI PIORITA S.Pd;partai demokrasi indonesia perjuangan;Jambi
LILI ZURIATI S.P.;partai keadilan sejahtera;Kep. Bangka Belitung
LILIANA TANAJA;persatuan indonesia;Dki Jakarta II
LILIH;partai persatuan pembangunan;Jawa Barat III
LILIK HARI PURWANINGSIH S.KM;partai demokrasi indonesia perjuangan;Papua
LILIS HERNA YULIA;partai nasdem;Jawa Barat III
LILIS SOLIHAH;persatuan indonesia;Jawa Barat IX
LILY OKTAVIA;partai amanat nasional;Jawa Timur I
LINA ARIANI S.Si., APl;partai keadilan sejahtera;Jawa Timur I
LINA DWI ASTUTI;partai solidaritas indonesia;Nusa Tenggara Barat II
LINA ERLIANI SE;partai kebangkitan bangsa;Kalimantan Selatan I
LINA HUTAGALUNG;partai kebangkitan bangsa;Sumatera Utara II
LINA ROHMA;persatuan indonesia;Jawa Tengah II
dr LINA SULISTIAWATI;partai demokrasi indonesia perjuangan;Banten III
LINA TRI WIJAYANTI SE;partai berkarya;BALI
LINDA AFRIANI SE;partai keadilan sejahtera;D. I. Yogyakarta
LINDA KARTIKA DEWI;persatuan indonesia;Jawa Barat X
LINDAWATI SIPAHUTAR M.Pd;persatuan indonesia;Lampung I
LINTANG KHRISNA MUTTI;partai solidaritas indonesia;Jawa Timur VIII
LIRA AMALIA;partai demokrasi indonesia perjuangan;Aceh I
LIRING DUHITA DEWI SH, LL.M;persatuan indonesia;Jawa Timur IX
LISA INDAH HARDIANTI;partai persatuan pembangunan;Dki Jakarta II
LISA LISDIANA S.Sos;partai keadilan sejahtera;Kalimantan Selatan II
LISMAINI SE;partai persatuan pembangunan;BALI
LISNAWATI GINTING S.H.,M.H.;partai demokrasi indonesia perjuangan;Aceh II
Ir LISTYANA NOOR ROCHAINY;partai keadilan sejahtera;Jawa Tengah I
LITA ZEN;partai demokrasi indonesia perjuangan;Jawa Barat II
LIU KIM ON;partai solidaritas indonesia;Dki Jakarta III
LOETFI NOEL ARIEF;partai amanat nasional;Sumatera Selatan II
LOIS EUODIA BASUKI;partai solidaritas indonesia;Kalimantan Barat I
LOVITA TAMAMI RANIA;partai golongan karya;Jawa Timur III
Ir LUBBA ROSITA;persatuan indonesia;Dki Jakarta III
LUCIANA AYU SUKMAWATI;persatuan indonesia;BALI
LUCKY HAKIM;partai nasdem;Jawa Barat VI
Ir LUCKY ALI MOERFIQIN M.M;partai golongan karya;Jawa Barat III
LUCKY BAYU PURNOMO SE., ME.;partai gerakan indonesia raya;Jawa Barat V
LUDIA ESTHER MENTANSAN;partai solidaritas indonesia;Papua Barat
LUH PUTU SUWANDEWI AESCHLIMANN S.Sos,. M.M.;partai demokrasi indonesia perjuangan;BALI
LUKITA SARI;partai demokrasi indonesia perjuangan;Lampung II
LUKMAN;persatuan indonesia;Riau I
LUKMAN BUDIMAN ST;persatuan indonesia;Sulawesi Selatan III
LUKMAN HAKIM;partai kebangkitan bangsa;Jawa Barat XI
LUKMAN YANI S.H;partai golongan karya;Jawa Timur II
LUKMANUROHIM;partai golongan karya;Jambi
LULU CHAIRUNISYAH;partai bulan bintang;Jawa Tengah VI
LULUK AVIYA;partai persatuan pembangunan;Jawa Timur V
LULUK PUJI RAHAYU;partai gerakan indonesia raya;D. I. Yogyakarta
LUSIA B MARETNI SINLAE B;partai solidaritas indonesia;Nusa Tenggara Timur II
LUSIATI SE. M.Si;partai amanat nasional;Jawa Tengah II
LUSY SHANTI;partai gerakan indonesia raya;Sulawesi Tengah
LUSYANI SUWANDI;partai nasdem;Kep. Bangka Belitung
LUSZY ROKHANA FATRIAWATI;partai amanat nasional;Jawa Timur VII
LUTFIAH;partai golongan karya;Jawa Tengah VII
LUTFIYATUN NADIFAH;partai gerakan indonesia raya;Jawa Timur III
LUTHFI LAZUARDI SH;partai bulan bintang;Jawa Timur VIII
LUTHFIAH NUR FAJRINA;partai kebangkitan bangsa;Jawa Timur I
LUZ B. MAHENDRADATTA SH;partai gerakan indonesia raya;Jawa Tengah IV
LYNSEY AFSARI PUTERI S.T;partai golongan karya;Dki Jakarta III
M ALI AKBAR;partai amanat nasional;Jawa Timur VIII
M ALI BRANTAS SARAGIH ST;partai gerakan indonesia raya;Sumatera Utara II
M AMIN AHMAD;partai persatuan pembangunan;Kalimantan Timur
M ANDY RAHMAD WIJAYA;partai gerakan indonesia raya;Jawa Tengah IV
M ANWAR ARIFIN;partai kebangkitan bangsa;Jawa Timur VII
M DANDY NURFIANDI;partai amanat nasional;Jawa Barat V
M GHOZI ALFATIH;partai kebangkitan bangsa;Jawa Timur I
Drs M HARIS SUBAGIO M.M;partai golongan karya;Jawa Timur V
M HUSNI;partai solidaritas indonesia;Aceh II
M IRWANSYAH PUTRA SE;partai persatuan pembangunan;Sumatera Utara I
DR M QUDRAT NUGRAHA MSi;persatuan indonesia;Kalimantan Barat II
M SAIFULLAH ST;partai bulan bintang;Sumatera Utara I
M TAUFIK GANI;partai amanat nasional;Jawa Timur X
M ZAKI HAKIM AT-TAMIMI;partai keadilan sejahtera;Lampung II
M. ALAIKA ASRORI ANSHOR;partai persatuan pembangunan;Jawa Timur II
M. ALI AMINUDIN SE;partai kebangkitan bangsa;Jawa Tengah IX
DRS.H M. ALI BADARUDIN SH.MM.PD;partai solidaritas indonesia;Jawa Tengah IV
M. AMIN MA;partai keadilan sejahtera;Jambi
M. ARIEF A. BISMA STP.,MM;partai gerakan indonesia raya;Sulawesi Selatan I
M. ARIEF PAHLEVI PANGERANG;partai golongan karya;Kalimantan Timur
M. AZWAR S.E.;partai kebangkitan bangsa;Kep. Bangka Belitung
M. DWIYOGA KURNIAWAN SH.;partai berkarya;Jawa Timur IX
M. FIRMANSYAH SHI;persatuan indonesia;Banten III
M. HARIMAN BAHTIAR M.Si;partai amanat nasional;Jawa Tengah X
M. HIDAYAT S.E;partai kebangkitan bangsa;Sumatera Barat I
M. IRWAN ZULFIKAR MBA;partai amanat nasional;Sulawesi Selatan I
M. JASHINTA E. HAMBOER. S.Ikom., M.Ikom;partai demokrasi indonesia perjuangan;Nusa Tenggara Timur I
M. JIMI S.H.;partai demokrasi indonesia perjuangan;Kalimantan Barat I
Dr M. KAPITRA AMPERA S.H.,M.H.;partai demokrasi indonesia perjuangan;Riau II
M. KASMAN KARIM SE, M. Si;partai keadilan sejahtera;Kalimantan Utara
M. KISRA HADIAN;partai amanat nasional;Jawa Tengah II
M. MAHARDIKA SUPRAPTO;partai gerakan indonesia raya;Jawa Timur VI
M. MAHILLI. HM SH., MH;partai amanat nasional;Jambi
M. MUHTADIN SABILI ST;persatuan indonesia;Banten II
M. MUHTAR ALI AN NADWI M.Ag;partai nasdem;Jawa Timur X
M. NIKO KAPISAN ST;partai gerakan indonesia raya;Jawa Timur II
DR. IR. H M. NIZAR DAHLAN M. Si;partai persatuan pembangunan;Banten III
M. OKI UDAYANA SE;partai berkarya;Lampung II
M. RANDY EFFENDI SH;partai gerakan indonesia raya;Kalimantan Selatan I
M. RIZKY HIDAYATULLAH;partai solidaritas indonesia;Sumatera Selatan I
Dr M. SABIL RACHMAN M.Si;partai golongan karya;Jawa Barat II
M. SABRAN CATIO;partai gerakan indonesia raya;Sumatera Barat I
M. SAID BAKHRI S.Sos., S.H., M.H;partai gerakan indonesia raya;Riau II
H M. SAYUTI S.Sos.I;partai persatuan pembangunan;Banten III
Ir M. SHADIQ PASADIGOE SH;partai amanat nasional;Sumatera Barat I
M. SIWI IRAWATI RUDATIN SE;partai solidaritas indonesia;D. I. Yogyakarta
M. SYAHRIL WASAHUA;partai persatuan pembangunan;Maluku
M. SYARIFIN MALOKO SH, M.Si, MM;partai bulan bintang;Dki Jakarta III
M. TAJUDIN SE;persatuan indonesia;Sumatera Selatan II
M. THOBAHUL AFTONI;partai persatuan pembangunan;Jawa Timur IX
M. WAHYUDI SE MSi;partai solidaritas indonesia;Jawa Tengah III
M. YASIN KARA SE. MH;partai amanat nasional;Jawa Timur III
M. YUNUS;partai amanat nasional;Jawa Timur IV
M. YUNUS AZHARI SH;partai keadilan sejahtera;Aceh I
M. YUSUF ISMAIL PASE SH, MH;partai keadilan sejahtera;Aceh II
M. ZAENAB MALTUFAH SE, MSE;partai kebangkitan bangsa;Jawa Timur I
M.A AZIZ HARTANTO S.MN;partai solidaritas indonesia;Sumatera Selatan I
M.A. GANTADA S.H, M.Hum;partai demokrasi indonesia perjuangan;Sumatera Selatan II
M.B. SETIADHARMA;partai gerakan indonesia raya;Jawa Tengah V
M.M RENDHY PRIMASESA SESUNAN;partai gerakan indonesia raya;Lampung I
M.M. RESTU HAPSARI;partai demokrasi indonesia perjuangan;Dki Jakarta III
M.RAJAB INDRA HAKIM HASIBUAN;partai persatuan pembangunan;Sumatera Utara II
M.TAUFIEK RAHMAN;partai bulan bintang;Jawa Timur IV
MA'MOL;partai amanat nasional;Jawa Timur XI
DR MA'MUN MUROD AL BARBASY M.Si;partai amanat nasional;Jawa Tengah IX
MACHLON MANASYE;partai solidaritas indonesia;Kalimantan Utara
Dr MACHMED TUN GANYANG SE., MM;partai bulan bintang;Dki Jakarta III
MACHMUD YUNUS;partai persatuan pembangunan;Jawa Tengah I
MADDU MALLU;partai keadilan sejahtera;Papua
MADE KARTHA WIRATAMA;partai berkarya;BALI
MAESYAROH;partai solidaritas indonesia;Jawa Tengah VII
MAHADIR SH;partai bulan bintang;Kep. Bangka Belitung
MAHARANI S.P;partai persatuan pembangunan;Nusa Tenggara Barat II
MAHARANI SITI SHOPIA SH., MH;partai gerakan indonesia raya;Sumatera Utara I
MAHARENNY HAMIDAH;persatuan indonesia;Nusa Tenggara Barat II
MAHAYONI;partai solidaritas indonesia;Jawa Barat VII
MAHBUB ROSYIDI, S.AG, SH;partai persatuan pembangunan;Jawa Tengah III
MAHDALENA;partai kebangkitan bangsa;Aceh I
MAHENDRA APRIYANTO;partai persatuan pembangunan;Sumatera Utara I
MAHESA LANANG GALIH;partai amanat nasional;Jawa Tengah VI
MAHFUD SH;partai persatuan pembangunan;Jawa Timur V
MAHFUZD SE;partai kebangkitan bangsa;Aceh II
MAHIPAL EDWIN SH;partai gerakan indonesia raya;Sumatera Selatan I
Drs MAHMUD FAUZY;partai bulan bintang;Banten I
MAHMUDAH;partai persatuan pembangunan;Nusa Tenggara Timur II
MAHMUDAWATI ST;partai berkarya;Nusa Tenggara Barat II
MAHPUDIN ,SE;partai nasdem;Jawa Barat IX
MAIMUNAH MOKO;partai keadilan sejahtera;Sulawesi Utara
DRA MAISARATUN ZUBAIDAH;partai keadilan sejahtera;Lampung I
MAIYYAH NADZIROH SH;partai gerakan indonesia raya;Jawa Timur VIII
MAJU DHARYANTO HUTAPEA SH.,MSi;persatuan indonesia;Dki Jakarta II
MAKARIUS PASKALIS BAUT S.H.;partai demokrasi indonesia perjuangan;Nusa Tenggara Timur I
MAKBUB EKHSAN;partai nasdem;Jawa Timur IX
MAKHFUD KURNIAWAN HIDAYAT;partai keadilan sejahtera;Kalimantan Tengah
dr MAKMUN DJAAFARA;partai amanat nasional;Sulawesi Utara
MAKMUN HALIM THOHARI SH.;partai persatuan pembangunan;Dki Jakarta I
MALIK ABDULLAH S.H.;partai persatuan pembangunan;Jawa Barat VIII
Mayjen TNI (Purn) MALIKI MIFT SIP, M.H.;partai berkarya;Jawa Barat V
Ir MAMING LETTO MM, IPP;partai solidaritas indonesia;Sulawesi Selatan III
MANDALA ABADI;partai amanat nasional;Dki Jakarta II
MANGASI SIHOMBING;partai solidaritas indonesia;Dki Jakarta II
MANGESTI WALUYO SEDJATI;partai keadilan sejahtera;Jawa Timur I
MANGONTANG SIMANJUNTAK S.P.;partai demokrasi indonesia perjuangan;Sumatera Utara II
MANNIE TITIN SALPONIATIN;partai bulan bintang;Sumatera Selatan II
MANOHARA ODELIA;partai nasdem;Jawa Timur I
Dr MANOTAR TAMPUBOLON SH, MH;partai solidaritas indonesia;Sumatera Utara II
MANZILA MARIA RETNO;partai kebangkitan bangsa;Jawa Barat IV
MARCE UTARI;partai solidaritas indonesia;Sumatera Barat I
MARDA HASTUTI;partai kebangkitan bangsa;Banten III
MARDAN MUHAMMAD;partai amanat nasional;Jawa Barat III
MARDIAH ABUZAR;partai gerakan indonesia raya;Dki Jakarta III
MARDIANA;partai solidaritas indonesia;Lampung I
MARDIANA S.SOS. I;partai bulan bintang;Aceh I
MARDIANA BUGIS S.E;partai kebangkitan bangsa;Sumatera Utara I
MARENDA DARWIS;partai keadilan sejahtera;Jawa Timur VI
MARETA MAYANGSARI S.S;partai kebangkitan bangsa;Jawa Timur III
Dr MARGARETA MARIA SINTORINI;partai demokrasi indonesia perjuangan;Jawa Tengah I
MARGI BUDIHARTO SE;persatuan indonesia;Jawa Timur II
MARGONINGSIH SE;partai amanat nasional;Aceh I
Ir MARHANY VICTOR POLY PUA M.A;partai golongan karya;Sulawesi Utara
MARI AGUSTINI IBEN ST;partai solidaritas indonesia;Kalimantan Utara
Dr MARIA AGUSTINA NOACH;partai gerakan indonesia raya;Nusa Tenggara Timur II
MARIA ANGELIE NENGSI;partai gerakan indonesia raya;Sumatera Barat II
MARIA HASTUTI SE;partai solidaritas indonesia;Kalimantan Selatan I
MARIA JEANS NULIARTI SH;partai solidaritas indonesia;Nusa Tenggara Timur I
MARIA JOSEFA BETE Amd.keu;partai amanat nasional;Nusa Tenggara Timur II
MARIA LUCIA LINDHAJANY SH, M.Kn;partai nasdem;Jawa Timur I
MARIA MAGDALENA BLEGUR;partai demokrasi indonesia perjuangan;Sulawesi Tenggara
MARIA ROSALINDA S.Kom., M.Si;partai gerakan indonesia raya;Jawa Barat I
MARIA SUSANTI;partai persatuan pembangunan;Sumatera Selatan I
MARIA ULFA M.Pd;partai kebangkitan bangsa;Jawa Tengah X
MARIA VIEANY PARIYANI;partai gerakan indonesia raya;Kalimantan Barat I
MARIAM NURAINI SOLISA;partai demokrasi indonesia perjuangan;Maluku
MARIANA A.Ma.Pust;partai amanat nasional;Kalimantan Barat I
Hj MARIANA GANDAKUSUMAH;partai amanat nasional;Jawa Barat I
MARIANA SIALLAGAN;persatuan indonesia;Sumatera Utara I
MARIANI S.Hut;partai amanat nasional;Kalimantan Barat I
MARINA OKTAVIA A.Md;partai amanat nasional;Jawa Barat X
MARKHAMAH AMINI;partai keadilan sejahtera;Jawa Tengah VI
Dr MARKUS PALANTUNG S.E.,M.M;persatuan indonesia;Sulawesi Utara
MARLEEN.J PETTA S.H;partai golongan karya;Maluku
Dr MARLINDA IRWANTI S.E., M.SI.;partai golongan karya;Jawa Tengah X
MARLINI HASAN;partai amanat nasional;Dki Jakarta I
